Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,droite,Monoculture,Bien irrigue,2,2,3,235,38,230,4,2,0,,,"32,75","55,5",77,2
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,gauche,Couple,Bien irrigue,2,2,4,395,45,251,4,2,0,,,"28,5","61,5",55,2
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,droite,Couple,Bien irrigue,2,2,4,376,50,233,4,3,0,,,NA,"33,5","1,5",0
EL4X_329.EL4X_376 WT b2,B2 - 2 - 5,gauche,Couple,Bien irrigue,2,2,5,329,50,199,3,3,0,,,26,"38,5","-1,5","0,5"
EL4X_329.EL4X_376 WT b2,B2 - 2 - 5,droite,Couple,Bien irrigue,2,2,5,376,65,228,5,3,0,,,"44,5","81,5","93,5","2,5"
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,gauche,Couple,Bien irrigue,2,2,6,130,41,229,3,3,0,,,29,"41,5",2,0
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,droite,Couple,Bien irrigue,2,2,6,131,55,191,5,2,0,,,35,57,70,2
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,gauche,Couple,Bien irrigue,2,2,7,265,48,224,4,3,0,,,28,36,0,0
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,droite,Couple,Bien irrigue,2,2,7,348,49,225,3,3,0,,,"30,5",39,"-0,5",0
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,gauche,Couple,Bien irrigue,2,2,8,165,47,195,4,2,0,,,"41,25","62,5","65,5",2
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,droite,Couple,Bien irrigue,2,2,8,130,50,210,5,3,0,,,"34,75",82,62,2
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,gauche,Monoculture,Bien irrigue,2,2,9,118,34,231,5,3,0,,,"26,5",55,16,0
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,droite,Monoculture,Bien irrigue,2,2,9,118,50,171,4,3,0,,,26,"34,5",3,"-0,5"
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,gauche,Couple,Bien irrigue,2,3,1,118,30,188,4,2,0,,,"21,5","26,5",0,"0,5"
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,droite,Couple,Bien irrigue,2,3,1,348,42,228,4,3,0,,,"29,5",41,"-0,5",0
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,gauche,Couple,Bien irrigue,2,3,2,165,48,215,5,3,0,,,32,37,-1,0
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,droite,Couple,Bien irrigue,2,3,2,131,56,249,5,3,0,,,"70,5","58,5","88,5","2,5"
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,gauche,Couple,Bien irrigue,2,3,3,114,43,203,4,2,0,,,26,"58,5","61,5","2,5"
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,droite,Couple,Bien irrigue,2,3,3,235,41,245,5,2,0,,,"34,5","60,5","81,5","2,5"
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,gauche,Couple,Bien irrigue,2,3,4,130,45,155,2,3,0,,,20,32,"-0,5",0
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,droite,Couple,Bien irrigue,2,3,4,412,47,214,4,3,0,,,"33,5",32,"0,5",0
