Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,Couple,Bien irrigue,2,2,6,droite,131,55,17/11/2021,23/11/2021,
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,Couple,Bien irrigue,2,2,7,gauche,265,48,15/11/2021,21/11/2021,
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,Couple,Bien irrigue,2,2,7,droite,348,49,15/11/2021,21/11/2021,
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,Couple,Bien irrigue,2,2,8,gauche,165,47,17/11/2021,23/11/2021,
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,Couple,Bien irrigue,2,2,8,droite,130,50,17/11/2021,21/11/2021,
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,Monoculture,Bien irrigue,2,2,9,gauche,118,34,15/11/2021,21/11/2021,
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,Monoculture,Bien irrigue,2,2,9,droite,118,50,15/11/2021,21/11/2021,
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,Couple,Bien irrigue,2,3,1,gauche,118,30,15/11/2021,23/11/2021,
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,Couple,Bien irrigue,2,3,1,droite,348,42,15/11/2021,21/11/2021,
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,Couple,Bien irrigue,2,3,2,gauche,165,48,15/11/2021,21/11/2021,
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,Couple,Bien irrigue,2,3,2,droite,131,56,17/11/2021,21/11/2021,
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,Couple,Bien irrigue,2,3,3,gauche,114,43,17/11/2021,23/11/2021,
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,Couple,Bien irrigue,2,3,3,droite,235,41,17/11/2021,23/11/2021,
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,Couple,Bien irrigue,2,3,4,gauche,130,45,15/11/2021,21/11/2021,
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,Couple,Bien irrigue,2,3,4,droite,412,47,15/11/2021,23/11/2021,
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,Couple,Bien irrigue,2,3,5,gauche,482,46,15/11/2021,21/11/2021,
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,Couple,Bien irrigue,2,3,5,droite,118,44,15/11/2021,23/11/2021,
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,Couple,Bien irrigue,2,3,6,gauche,89,48,15/11/2021,21/11/2021,
