Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,droite,Monoculture,Bien irrigue,RHT,2,3,16,412,38,215,5,2,0,68,38,75,75,2.5,412
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,droite,Couple,Bien irrigue,RHT,2,3,17,74,49,293,6,3,0,99,27,28.5,0.5,0.5,131
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,droite,Monoculture,Bien irrigue,rht,2,3,18,482,46,241,4,3,0,98,31.5,37.5,-1,0.5,482
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,droite,Monoculture,Bien irrigue,RHT,2,4,10,165,51,210,5,3,0,80,58,87.5,89.5,2,165
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,droite,Couple,Bien irrigue,RHT,2,4,11,74,49,219,4,3,0,74,25,49,-1,0,130
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,droite,Monoculture,Bien irrigue,RHT,2,4,12,265,46,252,4,2,0,75,29.5,33,-0.5,-0.5,265
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,droite,Monoculture,Bien irrigue,RHT,2,4,13,130,41,212,3,3,0,72,25.5,37,-2.5,0,130
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,droite,Couple,Bien irrigue,rht,2,4,14,235,44,194,4,3,0,93,40.25,98.5,51,2.5,329
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,droite,Monoculture,Bien irrigue,RHT,2,4,15,74,47,217,4,3,0,92,26.5,30.5,1,0,74
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,droite,Couple,Bien irrigue,rht,2,4,16,114,40,210,4,3,0,76,35.5,67,54.5,2.5,329
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,droite,Monoculture,Bien irrigue,rht,2,4,17,329,53,178,4,3,0,80,NA,42,1,0.5,329
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,droite,Monoculture,Bien irrigue,rht,2,4,18,376,48,209,4,2,0,62,33,26.5,-12,-0.5,376
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,droite,Couple,Bien irrigue,RHT,2,5,10,74,44,189,3,4,0,104,27,30.5,0.5,0,412
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,droite,Couple,Bien irrigue,RHT,2,5,11,74,41,214,3,3,0,78,33,31,-1.5,0,165
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,droite,Couple,Bien irrigue,RHT,2,5,12,131,45,218,5,3,0,84,39,67.5,82.5,2.5,412
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,droite,Couple,Bien irrigue,rht,2,5,13,235,43,216,3,2,0,46,25.75,65,53.5,1.5,395
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,droite,Couple,Bien irrigue,RHT,2,5,14,348,51,213,4,3,0,41,28,93.5,70,2.5,89
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,droite,Couple,Bien irrigue,RHT,2,5,15,118,NA,193,4,2,0,56,32.75,62.5,69.5,2.5,265
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,droite,Monoculture,Bien irrigue,RHT,2,5,16,131,60,215,5,3,0,95,40.5,40,87,2,131
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,droite,Couple,Bien irrigue,rht,2,5,17,482,52,260,6,3,1,101,27.5,36,-2.5,0.5,89
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,droite,Monoculture,Bien irrigue,rht,2,5,18,89,42,284,4,3,1,85,23,NA,-3,0,89
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,droite,Monoculture,Contrainte hydrique,RHT,3,6,1,131,47,211,5,2,0,60,49.5,59,74,2,131
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,droite,Monoculture,Contrainte hydrique,RHT,3,6,2,412,63,167,2,1,0,15,34.75,76,54.5,2,412
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,droite,Couple,Contrainte hydrique,rht,3,6,3,376,55,214,5,3,0,72,29.5,35.5,26,-0.5,329
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,droite,Couple,Contrainte hydrique,RHT,3,6,4,118,32,201,4,2,0,60,31.5,63,70.5,2,89
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,droite,Couple,Contrainte hydrique,rht,3,6,5,114,41,162,4,3,0,52,38,70.5,70.5,2,329
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,droite,Monoculture,Contrainte hydrique,RHT,3,6,6,74,45,217,4,3,0,122,29.5,27,44.5,2,74
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,droite,Couple,Contrainte hydrique,rht,3,6,7,395,56,175,4,3,0,75,11.83333333,NA,NA,NA,329
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,droite,Monoculture,Contrainte hydrique,RHT,3,6,8,265,43,211,4,3,0,68,23.5,31.5,-1,0,265
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,droite,Monoculture,Contrainte hydrique,rht,3,7,2,395,52,212,3,2,0,36,23.75,49.5,46.5,1,395
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,droite,Monoculture,Contrainte hydrique,rht,3,7,3,89,43,147,3,2,0,31,26,41,2,0.5,89
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,droite,Couple,Contrainte hydrique,RHT,3,7,4,118,29,196,3,3,0,57,25.5,29,-2,0.5,482
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,droite,Couple,Contrainte hydrique,RHT,3,7,5,348,48,219,4,3,0,94,25.5,34,2,0.5,482
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,droite,Couple,Contrainte hydrique,RHT,3,7,6,412,50,155,4,3,0,47,NA,40.5,-2,0.5,130
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,droite,Couple,Contrainte hydrique,RHT,3,7,7,348,47,225,5,3,0,107,29.5,27.5,11,0.5,89
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,droite,Couple,Contrainte hydrique,RHT,3,8,1,74,48,227,4,3,0,90,23.5,31.5,-1.5,0,130
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,droite,Monoculture,Contrainte hydrique,rht,3,8,2,482,46,222,3,2,0,71,33.5,32,0,0,482
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,droite,Couple,Contrainte hydrique,RHT,3,8,3,412,56,94,3,2,0,25,NA,92,16.5,1,165
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,droite,Monoculture,Contrainte hydrique,rht,3,8,4,376,45,252,5,2,0,100,31.5,15.5,0.5,0,376
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,droite,Couple,Contrainte hydrique,rht,3,8,5,235,48,234,4,2,0,73,32.5,68,63.5,2.5,114
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,droite,Couple,Contrainte hydrique,rht,3,8,6,114,44,221,4,3,0,67,21,36,-5.5,0,395
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,droite,Couple,Contrainte hydrique,RHT,3,8,7,118,39,205,5,2,0,44,26.5,23,-2.5,-0.5,265
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,droite,Monoculture,Contrainte hydrique,RHT,3,8,8,118,29,188,4,2,0,NA,20,19.5,2,0,118
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,droite,Couple,Contrainte hydrique,rht,3,8,9,376,74,218,5,3,0,94,28.5,36,3,0,395
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,droite,Couple,Contrainte hydrique,RHT,3,9,1,265,43,185,3,3,0,51,45,62.5,56,2,482
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,droite,Couple,Contrainte hydrique,RHT,3,9,2,74,41,206,3,3,0,83,22,30.5,-0.5,0,412
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,droite,Couple,Contrainte hydrique,RHT,3,9,3,131,53,209,5,2,0,69,38,62.5,74.5,2,412
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,droite,Couple,Contrainte hydrique,rht,3,9,4,235,45,222,4,2,0,63,32,51.5,58.5,2,395
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,droite,Couple,Contrainte hydrique,rht,3,9,5,235,43,221,4,2,0,51,28,57,54,2,376
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,droite,Couple,Contrainte hydrique,RHT,3,9,6,348,41,76,2,3,1,48,NA,NA,NA,NA,265
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,droite,Monoculture,Contrainte hydrique,RHT,3,9,7,130,40,192,4,3,0,48,26,30,0,0,130
EL4X_118.EL4X_348 wt b3,B3 - 4 - 8,droite,Couple,Contrainte hydrique,RHT,3,9,8,348,47,227,4,3,0,76,31,35,-2,0,118
EL4X_165.EL4X_165 wt b3,B3 - 4 - 9,droite,Monoculture,Contrainte hydrique,RHT,3,9,9,165,51,206,4,3,0,68,32,NA,-1,0,165
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,droite,Monoculture,Contrainte hydrique,rht,3,10,1,329,55,195,4,3,0,69,23.5,41,-1,-0.5,329
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,droite,Couple,Contrainte hydrique,rht,3,10,2,376,48,195,4,3,0,76,39.5,67,75.5,2,114
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,droite,Couple,Contrainte hydrique,rht,3,10,3,482,47,221,4,3,0,81,30,26,-2,-0.5,89
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,droite,Couple,Contrainte hydrique,RHT,3,10,4,265,40,201,3,2,0,44,26.25,70.5,60,1.5,89
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,droite,Monoculture,Contrainte hydrique,rht,3,10,5,235,48,211,4,2,0,55,28.75,52.5,50,2,235
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,droite,Monoculture,Contrainte hydrique,rht,3,10,6,114,44,191,4,3,0,85,37.5,71,65,2,114
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,droite,Couple,Contrainte hydrique,RHT,3,10,7,131,55,178,4,2,0,57,26,16.5,-4.5,-0.5,165
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,droite,Monoculture,Contrainte hydrique,RHT,3,10,8,348,42,173,3,3,0,67,22,14.5,8.5,-0.5,348
EL4X_130.EL4X_131 wt b3,B3 - 5 - 9,droite,Couple,Contrainte hydrique,RHT,3,10,9,131,46,233,5,2,0,78,41.25,58,78,2,130
EL4X_329.EL4X_235 WT b4,B4 - 1 - 1,droite,Couple,Bien irrigue,rht,4,6,10,235,44,222,5,2,0,92,35.5,61.5,82.5,2.5,329
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,droite,Couple,Bien irrigue,rht,4,6,11,395,54,115,4,2,0,43,16.25,32.5,36.5,2,329
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,droite,Monoculture,Bien irrigue,rht,4,6,12,89,42,244,4,3,1,99,38.75,87,72.5,2.5,89
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,droite,Couple,Bien irrigue,rht,4,6,13,114,46,209,5,3,0,76,34.25,28,41.5,2,395
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,droite,Monoculture,Bien irrigue,rht,4,6,14,395,46,272,5,2,0,82,47.75,72.5,102.5,2,395
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,droite,Couple,Bien irrigue,RHT,4,6,15,131,51,230,5,3,0,84,41,67,86,2.5,412
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,droite,Couple,Bien irrigue,RHT,4,6,16,131,44,198,4,2,0,60,24.75,46.5,42.5,1.5,130
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,droite,Couple,Bien irrigue,RHT,4,6,17,348,46,238,4,3,0,82,26,33,0,0,265
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,droite,Monoculture,Bien irrigue,RHT,4,6,18,118,34,207,4,2,0,61,35,66.5,70,2,118
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,droite,Couple,Bien irrigue,RHT,4,7,10,130,49,196,4,3,0,112,41,40,-2.5,-0.5,165
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,droite,Couple,Bien irrigue,rht,4,7,11,376,61,182,4,3,0,83,36.25,80,67.5,2,329
EL4X_165.EL4X_74 WT b4,B4 - 2 - 3,droite,Couple,Bien irrigue,RHT,4,7,12,74,44,202,4,3,0,89,23.5,31,0.5,0,165
EL4X_131.EL4X_74 WT b4,B4 - 2 - 4,droite,Couple,Bien irrigue,RHT,4,7,13,74,48,211,3,3,0,79,22.5,32,2.5,0,131
EL4X_395.EL4X_235 WT b4,B4 - 2 - 5,droite,Couple,Bien irrigue,rht,4,7,14,235,41,259,5,3,1,69,30,65,56,2,395
EL4X_130.EL4X_412 WT b4,B4 - 2 - 6,droite,Couple,Bien irrigue,RHT,4,7,15,412,51,206,4,3,0,76,33.75,69,64.5,2.5,130
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,droite,Monoculture,Bien irrigue,RHT,4,7,16,131,50,222,5,2,0,82,42.5,62.5,92.5,2,131
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,droite,Monoculture,Bien irrigue,RHT,4,7,17,74,50,192,3,3,0,78,22.5,33.5,0,-0.5,74
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,droite,Couple,Bien irrigue,rht,4,7,18,376,44,210,5,3,0,85,45.25,67,91,2.5,114
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,droite,Monoculture,Bien irrigue,rht,4,8,10,482,49,240,4,3,0,93,27,36.5,0,0,482
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,droite,Couple,Bien irrigue,rht,4,8,11,482,50,235,4,3,1,109,37.75,76.5,82.5,2.5,89
